feature,importance
visible_question_count,0.04882310487845352
answer__q_6bdc905e3f72_Scary_elements_Learn_more,0.02799140255400572
content_descriptor_count,0.02169391183244535
interactive_element_count,0.018528702306547826
answer__q_bca3ec5dda43_Yes,0.01848020161240754
answer__q_7711385eb421_No,0.01652815020731702
answer__q_1b293e4babdc_Social_or_Communication,0.015645908838503562
answer__q_7e327631a16c_No,0.013633214981855974
answer__q_f48caccfa701_No,0.013451715128522368
answer__q_507a4755324a_No,0.012837759539509455
answer__q_94281255eeea_No,0.01241583063808532
answer__q_bd5378991a14_No,0.010995677580472863
answer__q_93e10cb84a82_No,0.010983750980989769
answer__q_5d84cbf44792_Often,0.010934625721694681
answer__q_5cc1024ee5fb_Yes,0.010338095856450845
answer__q_156f495d441a_No,0.010320495104459534
answer__q_9f0067fa0227_No,0.010184191608910053
answer__q_4bc85050df07_Yes,0.010178566029252186
answer__q_93e10cb84a82_Yes,0.010151725543610974
answer__q_7e327631a16c_Yes,0.009634940345847226
answer__q_5ebbe602e5b2_Yes,0.009581268755926011
answer__q_1b293e4babdc_Game,0.009304433704203965
answer__q_fa879063695d_No,0.009039849923230604
answer__q_0fdfd05fcf6c_No,0.008984612686060631
answer__q_0cbfa914eb04_No,0.008691496406794305
answer__q_d6986c0f5284_Communication_used_to_communicate_with_people_already_known_to_the_user_in_one_on_one_or_small_group_conversations_Skype_SMS_and_Gmail_are_examples_of_these,0.008500625470726431
answer__q_60c024179acd_Yes,0.007941792207142149
answer__q_1b293e4babdc_All_Other_App_Types,0.007518159320531336
answer__q_94281255eeea_Yes,0.007506914002882987
answer__q_46e0aaa8e62a_Yes,0.007468639520681036
answer__q_3f4040ef5ac3_Yes,0.007407986995494428
answer__q_fa879063695d_Yes,0.007404412076858824
answer__q_8f58d3d79839_No,0.007057927343189602
answer__q_bca3ec5dda43_No,0.006991923169670164
answer__q_24f3b3344402_Yes,0.0067148138950089645
answer__q_5d84cbf44792_Rare,0.006490370798920351
answer__q_3f4040ef5ac3_No,0.006486028292415544
answer__q_507a4755324a_Yes,0.00640040901463956
answer__q_1189ea881316_Yes,0.006370602052789298
answer__q_0efb748cf130_No,0.006281958899605933
answer__q_6bdc905e3f72_Horrifying_elements_Learn_more,0.00613580159206964
answer__q_a6253f0e3e6b_Any_other_games_that_use_in_game_currency_tokens_to_play_and_can_reward_the_same_currency_through_gameplay_Gambling_themes_Learn_more_Playable_bingo_games,0.006115321764807296
answer__q_bd5378991a14_Yes,0.006107791142502157
answer__q_09670428687d_No,0.006078152603492689
answer__q_a4d0a299c5a1_Yes,0.006075874852402346
answer__q_4ae86f2db81e_No,0.005993581373995658
answer__q_f56acd04bdd6_No,0.005959606554657475
answer__q_7711385eb421_Yes,0.005953875091045744
answer__q_fdb2f701d9d4_No,0.005884359930297763
answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted,0.005873266169301313
answer__q_d6986c0f5284_Social_used_to_communicate_post_and_share_content_with_large_groups_of_people_or_for_meeting_new_people_Facebook_Twitter_Instagram_Tinder_are_examples_of_the,0.005761990832958325
answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting_Mucus_belching_flatu,0.0057527275503941
answer__q_4298248e0d7e_No,0.005677020587196171
answer__q_d6a91ad297c0_Rare,0.005531130316501176
answer__q_5bf1e7de7f5a_No,0.005242964324049613
answer__q_4298248e0d7e_Yes,0.005131447495878135
answer__q_aa6a8b99b99a_No,0.004885745226593304
answer__q_a015a42d9d10_Yes,0.004849152105498704
answer__q_aa6a8b99b99a_Yes,0.004829654369687499
answer__q_fdb2f701d9d4_Yes,0.004799157890515227
answer__q_1189ea881316_No,0.004573374753590247
answer__q_9f0067fa0227_Yes,0.004459998507635489
answer__q_f56acd04bdd6_Yes,0.004367004257077667
answer__q_55327882e80f_Yes,0.004214807332440137
answer__q_5ebbe602e5b2_No,0.004213469554739738
answer__q_e8892e310c69_Purchases_of_digital_goods_Learn_more,0.00417595784167582
answer__q_24f3b3344402_No,0.004114909988894198
answer__q_5bf1e7de7f5a_Yes,0.004082725435446696
answer__q_4ae86f2db81e_Yes,0.004061691785242438
answer__q_0efb748cf130_Yes,0.004034133215725076
answer__q_8f58d3d79839_Yes,0.004026876970415201
answer__q_fc1f50d87bd0_No,0.0040182508177542126
answer__q_d6dca7ba9e52_Yes,0.003958908900307703
answer__q_0ce68b31ce40_No,0.003958396886431982
answer__q_fba7766efb10_Yes,0.003859963341944855
answer__q_5af3b0b0f6a2_Yes,0.00385678718916285
answer__q_0cbfa914eb04_Yes,0.0038231928677806472
answer__q_46e0aaa8e62a_No,0.0038201734383549466
answer__q_1f7530ab41d5_No,0.0038109493760350725
answer__q_5490bceea51a_Yes,0.0035487190580811867
answer__q_6c31394cbc39_No,0.003534540278053821
answer__q_a56e8406d75c_Yes,0.0034402607158732306
answer__q_37593604faab_Yes,0.003397620735508992
answer__q_1648e15447c2_Small_and_infrequent,0.0033685687934220444
answer__q_a25499512447_No,0.0031966897844767817
answer__q_5cc1024ee5fb_No,0.0031611651212205658
answer__q_156f495d441a_Yes,0.0031324734079101945
answer__q_6bdc905e3f72_Horrifying_elements_Learn_more_Scary_elements_Learn_more,0.003087836122710643
answer__q_6c31394cbc39_Yes,0.0030666334293726356
answer__q_f48caccfa701_Yes,0.0030614810529795864
answer__q_d3bf243f60df_Yes,0.003001021287405933
answer__q_1790c1a1258b_No,0.0029339821272157136
answer__q_b7e65fe49e89_Yes,0.0029333239517537056
answer__q_60c024179acd_No,0.002916536158012781
answer__q_a1d50685cfd6_Yes,0.002904906722114173
answer__q_d1e73f127dff_Yes,0.0028117720141228302
answer__q_eb8144f44fff_Yes,0.0027894167982212984
answer__q_6c9ee501b527_No,0.00271450551317406
answer__q_3e81d7ae3d48_No,0.0026073210561334726
answer__q_25f720b8fa1b_No,0.002605514826445031
answer__q_2a32e81256f9_No,0.002600083076390924
answer__q_a015a42d9d10_No,0.002589779999474746
answer__q_19bccb6df9df_Yes_it_has_a_childlike_style_e_g_likely_to_appeal_to_younger_children,0.002568364548959334
answer__q_d2efcdb297ec_No,0.0025630976068808397
answer__q_d1e73f127dff_No,0.0025218296856920307
answer__q_0d48c815fd70_No,0.002493398204512756
answer__q_5af3b0b0f6a2_No,0.0024890023372064396
answer__q_1f7530ab41d5_Yes,0.002486767367060444
answer__q_5490bceea51a_No,0.0024655079296880735
answer__q_871b0cf50d10_No,0.0024540259898561192
answer__q_89d9afb2922c_No,0.0024415330205248545
answer__q_0fdfd05fcf6c_Yes,0.00244075469444209
answer__q_587428cb4ee9_No,0.002428879431855099
answer__q_cadf78f7f22c_No,0.002419563416825741
answer__q_d560309b2cbc_No,0.0023933776086180066
answer__q_25f720b8fa1b_Yes,0.0023732353537362803
answer__q_8df7505e13e7_Realistic,0.0023460651617395758
answer__q_375f4ae8bd42_Yes,0.002303238743164428
answer__q_8259a2e8d3cc_No,0.0022449139429711134
answer__q_587428cb4ee9_Yes,0.0022374481831721697
answer__q_323a8eac0485_Rarely,0.0022275345937655773
answer__q_a1d50685cfd6_No,0.002212283579893858
answer__q_e46f7dbcf100_Rarely,0.0021927332998400236
answer__q_d6dca7ba9e52_No,0.00218594577431877
answer__q_70a34d241d26_Unrealistic,0.0021798060421391076
answer__q_f5cfa9d035e8_No,0.0021595416971208047
answer__q_ade703578a13_No,0.002097170637790788
answer__q_642810d6452b_Yes,0.0020959586341426127
answer__q_8d336dde8f27_Yes,0.002079085329828381
answer__q_a56e8406d75c_No,0.002056743222131549
answer__q_ade703578a13_Yes,0.0020385223066696073
answer__q_311fb1823e38_Reference_Use,0.002015328454759267
answer__q_b23d1d969526_No,0.0020075483462269174
answer__q_5f81c1b2ff38_No,0.00200567462061473
answer__q_8259a2e8d3cc_Yes,0.001954065295241347
answer__q_fc1f50d87bd0_Yes,0.001944175854862994
answer__q_8d336dde8f27_No,0.0019362093930071459
answer__q_5878d1fe838a_Yes_without_penalties,0.0019057596200527363
answer__q_2a32e81256f9_Yes,0.0018588788844288078
answer__q_606e325700bf_Realistic,0.0018565063683704472
answer__q_7e3c719bbc27_No,0.0018458249248998178
answer__q_5f81c1b2ff38_Yes,0.0018229031484660477
answer__q_3e81d7ae3d48_Yes,0.0018142631906685994
answer__q_74094f46a402_No,0.0018117839582544183
answer__q_871b0cf50d10_Yes,0.0017971677399872688
answer__q_48e460900d50_Yes,0.0017799889182318067
answer__q_5b8de61634dc_No,0.00177884489326862
answer__q_d560309b2cbc_Yes,0.0017754225799471314
